WorkpieceID,MeasurementID,Energy,Amplitude,Max,Spectral Centroid,Spectral Peak,Autocorrelation Peak,Label
1,0,0.159744,0.0254666666666667,0.148,25.3195937022629,39.8305084745842,1,0
1,0,0.122112,0.0240666666666667,0.1,25.6537937049205,39.8305084745842,1,0
1,0,0.098432,0.0224666666666667,0.1,27.8426671383762,39.8305084745842,1,0
1,0,0.487552,0.0348,0.38,27.3206564023979,19.4915254237327,1,0
1,0,0.55872,0.0400666666666667,0.38,26.5010611707457,35.5932203389901,1,0
1,0,0.5856,0.0427333333333334,0.38,26.7917347286482,35.5932203389901,1,0
1,0,0.590848,0.0432,0.38,26.7319018442204,49.1525423728911,1,0
1,0,0.589312,0.0428666666666667,0.38,26.7373614530454,49.1525423728911,1,0
1,0,0.605312,0.0449333333333334,0.38,26.6667542575209,49.1525423728911,1,0
1,0,0.210688,0.0323333333333333,0.132,25.9654133068427,49.1525423728911,1,0
1,0,0.134656,0.0273333333333333,0.084,24.9271064609621,49.1525423728911,1,0
1,0,0.113536,0.0245333333333333,0.092,25.7998290324076,49.1525423728911,1,0
1,0,0.113408,0.0246,0.092,27.3819245694692,49.1525423728911,1,0
1,0,0.105088,0.0234,0.092,28.1150567747916,49.1525423728911,1,0
1,0,0.093824,0.0215333333333333,0.108,24.8872422106312,16.9491525423763,1,0
1,0,0.0993279999999999,0.0217333333333333,0.108,24.5274991508161,40.677966101703,1,0
1,0,0.109184,0.0224,0.108,25.9704439454507,40.677966101703,1,0
1,0,0.108672,0.0229333333333333,0.108,26.2320352274283,40.677966101703,1,0
1,0,0.580224,0.0344,0.38,25.0402834064612,17.7966101694951,1,0
1,0,0.880256,0.0497333333333333,0.38,26.4343423920119,23.7288135593268,1,0
1,0,0.879104,0.05,0.38,26.5613370277502,23.7288135593268,1,0
1,0,0.87936,0.0505333333333333,0.38,26.6377049165045,23.7288135593268,1,0
1,0,0.911232,0.0536,0.38,26.5285599092321,49.1525423728911,1,0
1,0,0.908288,0.0533333333333334,0.38,26.6373579228578,49.1525423728911,1,0
1,0,0.419968,0.04,0.212,29.5736520321783,49.1525423728911,1,0
1,0,0.123136,0.0252666666666667,0.076,28.3497575256109,50.0000000000099,1,0
1,0,0.123776,0.0256666666666667,0.076,28.6844220481092,50.0000000000099,1,0
1,0,0.148096,0.0274666666666667,0.092,26.2831094600983,50.0000000000099,1,0
1,0,0.103936,0.0231333333333333,0.092,26.480978641732,39.8305084745842,1,1
1,0,0.096768,0.0222,0.092,26.3389770977024,39.8305084745842,1,1
1,0,0.108416,0.0228666666666667,0.108,26.2181073828279,39.8305084745842,1,1
1,0,0.113664,0.0234666666666667,0.108,26.9045836847865,40.677966101703,1,1
1,0,0.122368,0.0227333333333333,0.148,26.2621774321074,39.8305084745842,1,1
1,0,0.103424,0.0216666666666667,0.148,26.5047270984403,39.8305084745842,1,1
1,0,0.443648,0.0351333333333333,0.3,29.2256364894611,39.8305084745842,1,1
1,0,0.571264,0.0433333333333333,0.3,29.2234520136096,39.8305084745842,1,1
1,0,0.58688,0.0448,0.3,29.2460158449389,35.5932203389901,1,1
1,0,0.612864,0.0463333333333333,0.3,28.4213373006887,35.5932203389901,1,1
1,0,0.60544,0.0469333333333333,0.3,28.5385900514592,35.5932203389901,1,1
1,0,0.605824,0.0466666666666667,0.3,28.6699754971233,35.5932203389901,1,1
1,0,0.287744,0.034,0.156,27.4574858303353,35.5932203389901,1,1
1,0,0.163328,0.0264666666666667,0.156,26.0276669690242,50.0000000000099,1,1
